Rainfall - (MM), Year, Statistics, Country, ISO3
10.2, 1919, Jan Average, Thailand, THA
36.1, 1919, Feb Average, Thailand, THA
35.2, 1919, Mar Average, Thailand, THA
79.8, 1919, Apr Average, Thailand, THA
194.4, 1919, May Average, Thailand, THA
193.7, 1919, Jun Average, Thailand, THA
251.4, 1919, Jul Average, Thailand, THA
203.7, 1919, Aug Average, Thailand, THA
171.9, 1919, Sep Average, Thailand, THA
95.9, 1919, Oct Average, Thailand, THA
74.1, 1919, Nov Average, Thailand, THA
38.4, 1919, Dec Average, Thailand, THA
28.6, 1920, Jan Average, Thailand, THA
9.1, 1920, Feb Average, Thailand, THA
52.8, 1920, Mar Average, Thailand, THA
70.3, 1920, Apr Average, Thailand, THA
135.9, 1920, May Average, Thailand, THA
166.7, 1920, Jun Average, Thailand, THA
215.6, 1920, Jul Average, Thailand, THA
193.3, 1920, Aug Average, Thailand, THA
276.1, 1920, Sep Average, Thailand, THA
152.2, 1920, Oct Average, Thailand, THA
74.0, 1920, Nov Average, Thailand, THA
42.2, 1920, Dec Average, Thailand, THA
33.3, 1921, Jan Average, Thailand, THA
21.9, 1921, Feb Average, Thailand, THA
60.5, 1921, Mar Average, Thailand, THA
69.3, 1921, Apr Average, Thailand, THA
204.4, 1921, May Average, Thailand, THA
144.3, 1921, Jun Average, Thailand, THA
242.4, 1921, Jul Average, Thailand, THA
231.0, 1921, Aug Average, Thailand, THA
335.7, 1921, Sep Average, Thailand, THA
98.9, 1921, Oct Average, Thailand, THA
32.1, 1921, Nov Average, Thailand, THA
19.9, 1921, Dec Average, Thailand, THA
29.6, 1922, Jan Average, Thailand, THA
6.1, 1922, Feb Average, Thailand, THA
52.6, 1922, Mar Average, Thailand, THA
63.1, 1922, Apr Average, Thailand, THA
167.5, 1922, May Average, Thailand, THA
147.6, 1922, Jun Average, Thailand, THA
193.8, 1922, Jul Average, Thailand, THA
215.2, 1922, Aug Average, Thailand, THA
302.5, 1922, Sep Average, Thailand, THA
107.4, 1922, Oct Average, Thailand, THA
148.4, 1922, Nov Average, Thailand, THA
35.4, 1922, Dec Average, Thailand, THA
23.0, 1923, Jan Average, Thailand, THA
17.2, 1923, Feb Average, Thailand, THA
57.3, 1923, Mar Average, Thailand, THA
123.5, 1923, Apr Average, Thailand, THA
194.0, 1923, May Average, Thailand, THA
254.4, 1923, Jun Average, Thailand, THA
171.0, 1923, Jul Average, Thailand, THA
209.1, 1923, Aug Average, Thailand, THA
183.8, 1923, Sep Average, Thailand, THA
203.3, 1923, Oct Average, Thailand, THA
79.6, 1923, Nov Average, Thailand, THA
25.4, 1923, Dec Average, Thailand, THA
19.4, 1924, Jan Average, Thailand, THA
9.9, 1924, Feb Average, Thailand, THA
43.9, 1924, Mar Average, Thailand, THA
114.6, 1924, Apr Average, Thailand, THA
160.5, 1924, May Average, Thailand, THA
199.5, 1924, Jun Average, Thailand, THA
217.2, 1924, Jul Average, Thailand, THA
287.0, 1924, Aug Average, Thailand, THA
261.9, 1924, Sep Average, Thailand, THA
165.7, 1924, Oct Average, Thailand, THA
53.9, 1924, Nov Average, Thailand, THA
15.2, 1924, Dec Average, Thailand, THA
15.9, 1925, Jan Average, Thailand, THA
11.2, 1925, Feb Average, Thailand, THA
37.2, 1925, Mar Average, Thailand, THA
125.3, 1925, Apr Average, Thailand, THA
139.3, 1925, May Average, Thailand, THA
205.3, 1925, Jun Average, Thailand, THA
184.7, 1925, Jul Average, Thailand, THA
258.2, 1925, Aug Average, Thailand, THA
225.5, 1925, Sep Average, Thailand, THA
130.6, 1925, Oct Average, Thailand, THA
81.6, 1925, Nov Average, Thailand, THA
30.6, 1925, Dec Average, Thailand, THA
