Rainfall - (MM), Year, Statistics, Country, ISO3
204.5, 2006, Jun Average, Thailand, THA
237.6, 2006, Jul Average, Thailand, THA
249.5, 2006, Aug Average, Thailand, THA
251.8, 2006, Sep Average, Thailand, THA
196.8, 2006, Oct Average, Thailand, THA
36.5, 2006, Nov Average, Thailand, THA
26.4, 2006, Dec Average, Thailand, THA
16.4, 2007, Jan Average, Thailand, THA
10.4, 2007, Feb Average, Thailand, THA
34.6, 2007, Mar Average, Thailand, THA
110.7, 2007, Apr Average, Thailand, THA
293.0, 2007, May Average, Thailand, THA
214.1, 2007, Jun Average, Thailand, THA
195.4, 2007, Jul Average, Thailand, THA
223.9, 2007, Aug Average, Thailand, THA
240.3, 2007, Sep Average, Thailand, THA
209.9, 2007, Oct Average, Thailand, THA
46.2, 2007, Nov Average, Thailand, THA
18.4, 2007, Dec Average, Thailand, THA
24.3, 2008, Jan Average, Thailand, THA
29.7, 2008, Feb Average, Thailand, THA
40.9, 2008, Mar Average, Thailand, THA
128.4, 2008, Apr Average, Thailand, THA
209.2, 2008, May Average, Thailand, THA
216.7, 2008, Jun Average, Thailand, THA
208.8, 2008, Jul Average, Thailand, THA
210.5, 2008, Aug Average, Thailand, THA
288.3, 2008, Sep Average, Thailand, THA
186.4, 2008, Oct Average, Thailand, THA
93.6, 2008, Nov Average, Thailand, THA
21.1, 2008, Dec Average, Thailand, THA
15.3, 2009, Jan Average, Thailand, THA
5.0, 2009, Feb Average, Thailand, THA
72.7, 2009, Mar Average, Thailand, THA
130.1, 2009, Apr Average, Thailand, THA
237.6, 2009, May Average, Thailand, THA
192.3, 2009, Jun Average, Thailand, THA
223.5, 2009, Jul Average, Thailand, THA
247.4, 2009, Aug Average, Thailand, THA
248.9, 2009, Sep Average, Thailand, THA
140.1, 2009, Oct Average, Thailand, THA
53.2, 2009, Nov Average, Thailand, THA
21.3, 2009, Dec Average, Thailand, THA
28.7, 2010, Jan Average, Thailand, THA
10.6, 2010, Feb Average, Thailand, THA
20.5, 2010, Mar Average, Thailand, THA
52.1, 2010, Apr Average, Thailand, THA
118.5, 2010, May Average, Thailand, THA
216.1, 2010, Jun Average, Thailand, THA
232.7, 2010, Jul Average, Thailand, THA
334.7, 2010, Aug Average, Thailand, THA
240.0, 2010, Sep Average, Thailand, THA
207.4, 2010, Oct Average, Thailand, THA
60.7, 2010, Nov Average, Thailand, THA
52.2, 2010, Dec Average, Thailand, THA
25.1, 2011, Jan Average, Thailand, THA
15.1, 2011, Feb Average, Thailand, THA
78.6, 2011, Mar Average, Thailand, THA
129.6, 2011, Apr Average, Thailand, THA
225.5, 2011, May Average, Thailand, THA
235.3, 2011, Jun Average, Thailand, THA
310.4, 2011, Jul Average, Thailand, THA
324.1, 2011, Aug Average, Thailand, THA
288.1, 2011, Sep Average, Thailand, THA
194.3, 2011, Oct Average, Thailand, THA
62.3, 2011, Nov Average, Thailand, THA
38.0, 2011, Dec Average, Thailand, THA
41.5, 2012, Jan Average, Thailand, THA
16.6, 2012, Feb Average, Thailand, THA
44.8, 2012, Mar Average, Thailand, THA
101.2, 2012, Apr Average, Thailand, THA
197.6, 2012, May Average, Thailand, THA
149.9, 2012, Jun Average, Thailand, THA
194.3, 2012, Jul Average, Thailand, THA
193.1, 2012, Aug Average, Thailand, THA
278.5, 2012, Sep Average, Thailand, THA
112.1, 2012, Oct Average, Thailand, THA
118.5, 2012, Nov Average, Thailand, THA
40.1, 2012, Dec Average, Thailand, THA
28.1, 2013, Jan Average, Thailand, THA
16.3, 2013, Feb Average, Thailand, THA
40.4, 2013, Mar Average, Thailand, THA
75.4, 2013, Apr Average, Thailand, THA
147.8, 2013, May Average, Thailand, THA
207.6, 2013, Jun Average, Thailand, THA
277.4, 2013, Jul Average, Thailand, THA
270.2, 2013, Aug Average, Thailand, THA
318.5, 2013, Sep Average, Thailand, THA
198.2, 2013, Oct Average, Thailand, THA
85.5, 2013, Nov Average, Thailand, THA
28.9, 2013, Dec Average, Thailand, THA
7.1, 2014, Jan Average, Thailand, THA
2.6, 2014, Feb Average, Thailand, THA
30.3, 2014, Mar Average, Thailand, THA
82.0, 2014, Apr Average, Thailand, THA
153.6, 2014, May Average, Thailand, THA
194.2, 2014, Jun Average, Thailand, THA
204.1, 2014, Jul Average, Thailand, THA
285.5, 2014, Aug Average, Thailand, THA
206.7, 2014, Sep Average, Thailand, THA
136.1, 2014, Oct Average, Thailand, THA
77.9, 2014, Nov Average, Thailand, THA
43.7, 2014, Dec Average, Thailand, THA
18.1, 2015, Jan Average, Thailand, THA
16.3, 2015, Feb Average, Thailand, THA
42.0, 2015, Mar Average, Thailand, THA
81.4, 2015, Apr Average, Thailand, THA
89.7, 2015, May Average, Thailand, THA
139.2, 2015, Jun Average, Thailand, THA
201.0, 2015, Jul Average, Thailand, THA
251.5, 2015, Aug Average, Thailand, THA
252.8, 2015, Sep Average, Thailand, THA
142.8, 2015, Oct Average, Thailand, THA
86.9, 2015, Nov Average, Thailand, THA
42.5, 2015, Dec Average, Thailand, THA
36.8, 2016, Jan Average, Thailand, THA
9.1, 2016, Feb Average, Thailand, THA
16.9, 2016, Mar Average, Thailand, THA
32.9, 2016, Apr Average, Thailand, THA
180.6, 2016, May Average, Thailand, THA
179.7, 2016, Jun Average, Thailand, THA
204.7, 2016, Jul Average, Thailand, THA
217.8, 2016, Aug Average, Thailand, THA
289.2, 2016, Sep Average, Thailand, THA
196.6, 2016, Oct Average, Thailand, THA
130.2, 2016, Nov Average, Thailand, THA
49.2, 2016, Dec Average, Thailand, THA
55.8, 2017, Jan Average, Thailand, THA
15.6, 2017, Feb Average, Thailand, THA
65.1, 2017, Mar Average, Thailand, THA
107.9, 2017, Apr Average, Thailand, THA
309.8, 2017, May Average, Thailand, THA
251.4, 2017, Jun Average, Thailand, THA
264.6, 2017, Jul Average, Thailand, THA
272.6, 2017, Aug Average, Thailand, THA
256.5, 2017, Sep Average, Thailand, THA
187.7, 2017, Oct Average, Thailand, THA
75.9, 2017, Nov Average, Thailand, THA
53.4, 2017, Dec Average, Thailand, THA
22.5, 2018, Jan Average, Thailand, THA
24.2, 2018, Feb Average, Thailand, THA
42.8, 2018, Mar Average, Thailand, THA
139.6, 2018, Apr Average, Thailand, THA
187.8, 2018, May Average, Thailand, THA
207.5, 2018, Jun Average, Thailand, THA
211.1, 2018, Jul Average, Thailand, THA
248.6, 2018, Aug Average, Thailand, THA
184.6, 2018, Sep Average, Thailand, THA
141.8, 2018, Oct Average, Thailand, THA
57.1, 2018, Nov Average, Thailand, THA
47.6, 2018, Dec Average, Thailand, THA
30.7, 2019, Jan Average, Thailand, THA
16.8, 2019, Feb Average, Thailand, THA
19.7, 2019, Mar Average, Thailand, THA
44.1, 2019, Apr Average, Thailand, THA
164.4, 2019, May Average, Thailand, THA
169.3, 2019, Jun Average, Thailand, THA
149.8, 2019, Jul Average, Thailand, THA
263.5, 2019, Aug Average, Thailand, THA
244.1, 2019, Sep Average, Thailand, THA
90.3, 2019, Oct Average, Thailand, THA
49.5, 2019, Nov Average, Thailand, THA
15.1, 2019, Dec Average, Thailand, THA
7.3, 2020, Jan Average, Thailand, THA
9.1, 2020, Feb Average, Thailand, THA
34.6, 2020, Mar Average, Thailand, THA
82.9, 2020, Apr Average, Thailand, THA
122.0, 2020, May Average, Thailand, THA
214.1, 2020, Jun Average, Thailand, THA
174.2, 2020, Jul Average, Thailand, THA
273.8, 2020, Aug Average, Thailand, THA
256.9, 2020, Sep Average, Thailand, THA
211.5, 2020, Oct Average, Thailand, THA
60.4, 2020, Nov Average, Thailand, THA
41.4, 2020, Dec Average, Thailand, THA
