Date,54T,,,,,,,,,,,,,,,,,,,,
30/07/2013,19,,,,,,,,,,,,,,,,,,,,
31/07/2013,22,,,,,,,,,,,,,,,,,,,,
01/08/2013,27,,,,,,,,,,,,,,,,,,,,
02/08/2013,26,,,,,,,,,,,,,,,,,,,,
03/08/2013,24,,,,,,,,,,,,,,,,,,,,
04/08/2013,20,,,,,,,,,,,,,,,,,,,,
05/08/2013,29,,,,,,,,,,,,,,,,,,,,
06/08/2013,32,,,,,,,,,,,,,,,,,,,,
07/08/2013,27,,,,,,,,,,,,,,,,,,,,
08/08/2013,24,,,,,,,,,,,,,,,,,,,,
09/08/2013,25,,,,,,,,,,,,,,,,,,,,
10/08/2013,25,,,,,,,,,,,,,,,,,,,,
11/08/2013,24,,,,,,,,,,,,,,,,,,,,
12/08/2013,22,,,,,,,,,,,,,,,,,,,,
13/08/2013,18,,,,,,,,,,,,,,,,,,,,
14/08/2013,16,,,,,,,,,,,,,,,,,,,,
15/08/2013,16,,,,,,,,,,,,,,,,,,,,
16/08/2013,17,,,,,,,,,,,,,,,,,,,,
17/08/2013,18,,,,,,,,,,,,,,,,,,,,
18/08/2013,22,,,,,,,,,,,,,,,,,,,,
19/08/2013,20,,,,,,,,,,,,,,,,,,,,
20/08/2013,17,,,,,,,,,,,,,,,,,,,,
21/08/2013,21,,,,,,,,,,,,,,,,,,,,
22/08/2013,23,,,,,,,,,,,,,,,,,,,,
23/08/2013,22,,,,,,,,,,,,,,,,,,,,
24/08/2013,27,,,,,,,,,,,,,,,,,,,,
25/08/2013,23,,,,,,,,,,,,,,,,,,,,
26/08/2013,25,,,,,,,,,,,,,,,,,,,,
27/08/2013,25,,,,,,,,,,,,,,,,,,,,
28/08/2013,33,,,,,,,,,,,,,,,,,,,,
29/08/2013,23,,,,,,,,,,,,,,,,,,,,
30/08/2013,23,,,,,,,,,,,,,,,,,,,,
31/08/2013,37,,,,,,,,,,,,,,,,,,,,
01/09/2013,29,,,,,,,,,,,,,,,,,,,,
02/09/2013,21,,,,,,,,,,,,,,,,,,,,
03/09/2013,N/A,,,,,,,,,,,,,,,,,,,,
04/09/2013,N/A,,,,,,,,,,,,,,,,,,,,
05/09/2013,43,,,,,,,,,,,,,,,,,,,,
06/09/2013,38,,,,,,,,,,,,,,,,,,,,
07/09/2013,34,,,,,,,,,,,,,,,,,,,,
08/09/2013,40,,,,,,,,,,,,,,,,,,,,
09/09/2013,32,,,,,,,,,,,,,,,,,,,,
10/09/2013,42,,,,,,,,,,,,,,,,,,,,
11/09/2013,31,,,,,,,,,,,,,,,,,,,,
12/09/2013,41,,,,,,,,,,,,,,,,,,,,
13/09/2013,45,,,,,,,,,,,,,,,,,,,,
14/09/2013,35,,,,,,,,,,,,,,,,,,,,
15/09/2013,29,,,,,,,,,,,,,,,,,,,,
16/09/2013,20,,,,,,,,,,,,,,,,,,,,
17/09/2013,25,,,,,,,,,,,,,,,,,,,,
18/09/2013,30,,,,,,,,,,,,,,,,,,,,
19/09/2013,20,,,,,,,,,,,,,,,,,,,,
20/09/2013,18,,,,,,,,,,,,,,,,,,,,
21/09/2013,21,,,,,,,,,,,,,,,,,,,,
22/09/2013,18,,,,,,,,,,,,,,,,,,,,
23/09/2013,N/A,,,,,,,,,,,,,,,,,,,,
24/09/2013,21,,,,,,,,,,,,,,,,,,,,
25/09/2013,18,,,,,,,,,,,,,,,,,,,,
26/09/2013,29,,,,,,,,,,,,,,,,,,,,
27/09/2013,25,,,,,,,,,,,,,,,,,,,,
28/09/2013,31,,,,,,,,,,,,,,,,,,,,
29/09/2013,35,,,,,,,,,,,,,,,,,,,,
30/09/2013,N/A,,,,,,,,,,,,,,,,,,,,
01/10/2013,N/A,,,,,,,,,,,,,,,,,,,,
02/10/2013,N/A,,,,,,,,,,,,,,,,,,,,
