Date,54T,,,,,,,,,,,,,,,,,,
16/08/2012,N/A,,,,,,,,,,,,,,,,,,
17/08/2012,N/A,,,,,,,,,,,,,,,,,,
18/08/2012,N/A,,,,,,,,,,,,,,,,,,
19/08/2012,N/A,,,,,,,,,,,,,,,,,,
20/08/2012,N/A,,,,,,,,,,,,,,,,,,
21/08/2012,N/A,,,,,,,,,,,,,,,,,,
22/08/2012,25,,,,,,,,,,,,,,,,,,
23/08/2012,21,,,,,,,,,,,,,,,,,,
24/08/2012,28,,,,,,,,,,,,,,,,,,
25/08/2012,28,,,,,,,,,,,,,,,,,,
26/08/2012,31,,,,,,,,,,,,,,,,,,
27/08/2012,17,,,,,,,,,,,,,,,,,,
28/08/2012,24,,,,,,,,,,,,,,,,,,
29/08/2012,32,,,,,,,,,,,,,,,,,,
30/08/2012,28,,,,,,,,,,,,,,,,,,
31/08/2012,29,,,,,,,,,,,,,,,,,,
01/09/2012,23,,,,,,,,,,,,,,,,,,
02/09/2012,23,,,,,,,,,,,,,,,,,,
03/09/2012,24,,,,,,,,,,,,,,,,,,
04/09/2012,25,,,,,,,,,,,,,,,,,,
05/09/2012,30,,,,,,,,,,,,,,,,,,
06/09/2012,30,,,,,,,,,,,,,,,,,,
07/09/2012,28,,,,,,,,,,,,,,,,,,
08/09/2012,20,,,,,,,,,,,,,,,,,,
09/09/2012,27,,,,,,,,,,,,,,,,,,
10/09/2012,29,,,,,,,,,,,,,,,,,,
11/09/2012,26,,,,,,,,,,,,,,,,,,
12/09/2012,30,,,,,,,,,,,,,,,,,,
13/09/2012,26,,,,,,,,,,,,,,,,,,
14/09/2012,27,,,,,,,,,,,,,,,,,,
15/09/2012,32,,,,,,,,,,,,,,,,,,
16/09/2012,32,,,,,,,,,,,,,,,,,,
17/09/2012,28,,,,,,,,,,,,,,,,,,
18/09/2012,29,,,,,,,,,,,,,,,,,,
19/09/2012,31,,,,,,,,,,,,,,,,,,
20/09/2012,22,,,,,,,,,,,,,,,,,,
21/09/2012,25,,,,,,,,,,,,,,,,,,
22/09/2012,28,,,,,,,,,,,,,,,,,,
23/09/2012,23,,,,,,,,,,,,,,,,,,
24/09/2012,22,,,,,,,,,,,,,,,,,,
25/09/2012,38,,,,,,,,,,,,,,,,,,
26/09/2012,57,,,,,,,,,,,,,,,,,,
27/09/2012,33,,,,,,,,,,,,,,,,,,
28/09/2012,37,,,,,,,,,,,,,,,,,,
29/09/2012,47,,,,,,,,,,,,,,,,,,
30/09/2012,49,,,,,,,,,,,,,,,,,,
01/10/2012,47,,,,,,,,,,,,,,,,,,
02/10/2012,45,,,,,,,,,,,,,,,,,,
03/10/2012,31,,,,,,,,,,,,,,,,,,
04/10/2012,26,,,,,,,,,,,,,,,,,,
05/10/2012,30,,,,,,,,,,,,,,,,,,
06/10/2012,33,,,,,,,,,,,,,,,,,,
07/10/2012,36,,,,,,,,,,,,,,,,,,
08/10/2012,26,,,,,,,,,,,,,,,,,,
09/10/2012,N/A,,,,,,,,,,,,,,,,,,
10/10/2012,N/A,,,,,,,,,,,,,,,,,,
11/10/2012,N/A,,,,,,,,,,,,,,,,,,
12/10/2012,N/A,,,,,,,,,,,,,,,,,,
13/10/2012,N/A,,,,,,,,,,,,,,,,,,
14/10/2012,N/A,,,,,,,,,,,,,,,,,,
15/10/2012,N/A,,,,,,,,,,,,,,,,,,
16/10/2012,N/A,,,,,,,,,,,,,,,,,,
17/10/2012,N/A,,,,,,,,,,,,,,,,,,
18/10/2012,N/A,,,,,,,,,,,,,,,,,,
19/10/2012,46,,,,,,,,,,,,,,,,,,
20/10/2012,48,,,,,,,,,,,,,,,,,,
21/10/2012,47,,,,,,,,,,,,,,,,,,
22/10/2012,38,,,,,,,,,,,,,,,,,,
23/10/2012,38,,,,,,,,,,,,,,,,,,
24/10/2012,32,,,,,,,,,,,,,,,,,,
25/10/2012,32,,,,,,,,,,,,,,,,,,
26/10/2012,40,,,,,,,,,,,,,,,,,,
27/10/2012,33,,,,,,,,,,,,,,,,,,
28/10/2012,50,,,,,,,,,,,,,,,,,,
29/10/2012,41,,,,,,,,,,,,,,,,,,
30/10/2012,N/A,,,,,,,,,,,,,,,,,,
31/10/2012,38,,,,,,,,,,,,,,,,,,
01/11/2012,32,,,,,,,,,,,,,,,,,,
02/11/2012,31,,,,,,,,,,,,,,,,,,
03/11/2012,31,,,,,,,,,,,,,,,,,,
04/11/2012,31,,,,,,,,,,,,,,,,,,
05/11/2012,31,,,,,,,,,,,,,,,,,,
06/11/2012,32,,,,,,,,,,,,,,,,,,
07/11/2012,32,,,,,,,,,,,,,,,,,,
08/11/2012,33,,,,,,,,,,,,,,,,,,
09/11/2012,34,,,,,,,,,,,,,,,,,,
10/11/2012,33,,,,,,,,,,,,,,,,,,
11/11/2012,32,,,,,,,,,,,,,,,,,,
12/11/2012,33,,,,,,,,,,,,,,,,,,
13/11/2012,33,,,,,,,,,,,,,,,,,,
14/11/2012,33,,,,,,,,,,,,,,,,,,
15/11/2012,32,,,,,,,,,,,,,,,,,,
16/11/2012,31,,,,,,,,,,,,,,,,,,
17/11/2012,34,,,,,,,,,,,,,,,,,,
18/11/2012,33,,,,,,,,,,,,,,,,,,
19/11/2012,N/A,,,,,,,,,,,,,,,,,,
20/11/2012,33,,,,,,,,,,,,,,,,,,
21/11/2012,33,,,,,,,,,,,,,,,,,,
22/11/2012,35,,,,,,,,,,,,,,,,,,
23/11/2012,35,,,,,,,,,,,,,,,,,,
24/11/2012,32,,,,,,,,,,,,,,,,,,
25/11/2012,34,,,,,,,,,,,,,,,,,,
26/11/2012,31,,,,,,,,,,,,,,,,,,
27/11/2012,33,,,,,,,,,,,,,,,,,,
28/11/2012,32,,,,,,,,,,,,,,,,,,
29/11/2012,33,,,,,,,,,,,,,,,,,,
30/11/2012,31,,,,,,,,,,,,,,,,,,
01/12/2012,29,,,,,,,,,,,,,,,,,,
02/12/2012,30,,,,,,,,,,,,,,,,,,
03/12/2012,31,,,,,,,,,,,,,,,,,,
04/12/2012,32,,,,,,,,,,,,,,,,,,
05/12/2012,32,,,,,,,,,,,,,,,,,,
06/12/2012,32,,,,,,,,,,,,,,,,,,
07/12/2012,33,,,,,,,,,,,,,,,,,,
08/12/2012,31,,,,,,,,,,,,,,,,,,
09/12/2012,32,,,,,,,,,,,,,,,,,,
10/12/2012,N/A,,,,,,,,,,,,,,,,,,
11/12/2012,N/A,,,,,,,,,,,,,,,,,,
12/12/2012,N/A,,,,,,,,,,,,,,,,,,
13/12/2012,N/A,,,,,,,,,,,,,,,,,,
14/12/2012,N/A,,,,,,,,,,,,,,,,,,
15/12/2012,N/A,,,,,,,,,,,,,,,,,,
16/12/2012,N/A,,,,,,,,,,,,,,,,,,
17/12/2012,68,,,,,,,,,,,,,,,,,,
18/12/2012,74,,,,,,,,,,,,,,,,,,
