Temperature - (Celsius), Year, Statistics, Country, ISO3
27.4, 2007, Jul Average, Thailand, THA
27.2, 2007, Aug Average, Thailand, THA
27.0, 2007, Sep Average, Thailand, THA
26.2, 2007, Oct Average, Thailand, THA
24.1, 2007, Nov Average, Thailand, THA
24.6, 2007, Dec Average, Thailand, THA
24.1, 2008, Jan Average, Thailand, THA
24.5, 2008, Feb Average, Thailand, THA
27.3, 2008, Mar Average, Thailand, THA
28.7, 2008, Apr Average, Thailand, THA
27.4, 2008, May Average, Thailand, THA
27.4, 2008, Jun Average, Thailand, THA
27.2, 2008, Jul Average, Thailand, THA
27.1, 2008, Aug Average, Thailand, THA
26.8, 2008, Sep Average, Thailand, THA
26.9, 2008, Oct Average, Thailand, THA
24.6, 2008, Nov Average, Thailand, THA
22.8, 2008, Dec Average, Thailand, THA
22.2, 2009, Jan Average, Thailand, THA
26.4, 2009, Feb Average, Thailand, THA
27.4, 2009, Mar Average, Thailand, THA
28.7, 2009, Apr Average, Thailand, THA
27.9, 2009, May Average, Thailand, THA
27.7, 2009, Jun Average, Thailand, THA
27.3, 2009, Jul Average, Thailand, THA
27.7, 2009, Aug Average, Thailand, THA
27.2, 2009, Sep Average, Thailand, THA
27.0, 2009, Oct Average, Thailand, THA
25.6, 2009, Nov Average, Thailand, THA
24.4, 2009, Dec Average, Thailand, THA
24.8, 2010, Jan Average, Thailand, THA
26.9, 2010, Feb Average, Thailand, THA
28.3, 2010, Mar Average, Thailand, THA
30.3, 2010, Apr Average, Thailand, THA
30.1, 2010, May Average, Thailand, THA
28.8, 2010, Jun Average, Thailand, THA
27.8, 2010, Jul Average, Thailand, THA
26.9, 2010, Aug Average, Thailand, THA
27.2, 2010, Sep Average, Thailand, THA
26.2, 2010, Oct Average, Thailand, THA
25.3, 2010, Nov Average, Thailand, THA
24.4, 2010, Dec Average, Thailand, THA
23.2, 2011, Jan Average, Thailand, THA
25.6, 2011, Feb Average, Thailand, THA
25.8, 2011, Mar Average, Thailand, THA
27.9, 2011, Apr Average, Thailand, THA
27.9, 2011, May Average, Thailand, THA
27.6, 2011, Jun Average, Thailand, THA
27.2, 2011, Jul Average, Thailand, THA
26.9, 2011, Aug Average, Thailand, THA
26.7, 2011, Sep Average, Thailand, THA
26.4, 2011, Oct Average, Thailand, THA
25.8, 2011, Nov Average, Thailand, THA
23.3, 2011, Dec Average, Thailand, THA
24.6, 2012, Jan Average, Thailand, THA
26.3, 2012, Feb Average, Thailand, THA
27.9, 2012, Mar Average, Thailand, THA
29.1, 2012, Apr Average, Thailand, THA
28.5, 2012, May Average, Thailand, THA
27.9, 2012, Jun Average, Thailand, THA
27.3, 2012, Jul Average, Thailand, THA
27.3, 2012, Aug Average, Thailand, THA
26.9, 2012, Sep Average, Thailand, THA
27.1, 2012, Oct Average, Thailand, THA
26.7, 2012, Nov Average, Thailand, THA
25.5, 2012, Dec Average, Thailand, THA
24.3, 2013, Jan Average, Thailand, THA
26.9, 2013, Feb Average, Thailand, THA
28.2, 2013, Mar Average, Thailand, THA
29.6, 2013, Apr Average, Thailand, THA
29.1, 2013, May Average, Thailand, THA
27.8, 2013, Jun Average, Thailand, THA
27.1, 2013, Jul Average, Thailand, THA
27.4, 2013, Aug Average, Thailand, THA
26.7, 2013, Sep Average, Thailand, THA
26.3, 2013, Oct Average, Thailand, THA
25.9, 2013, Nov Average, Thailand, THA
21.7, 2013, Dec Average, Thailand, THA
22.1, 2014, Jan Average, Thailand, THA
25.4, 2014, Feb Average, Thailand, THA
28.1, 2014, Mar Average, Thailand, THA
29.4, 2014, Apr Average, Thailand, THA
29.3, 2014, May Average, Thailand, THA
28.3, 2014, Jun Average, Thailand, THA
27.7, 2014, Jul Average, Thailand, THA
27.3, 2014, Aug Average, Thailand, THA
27.2, 2014, Sep Average, Thailand, THA
26.9, 2014, Oct Average, Thailand, THA
26.4, 2014, Nov Average, Thailand, THA
24.1, 2014, Dec Average, Thailand, THA
23.2, 2015, Jan Average, Thailand, THA
25.4, 2015, Feb Average, Thailand, THA
28.2, 2015, Mar Average, Thailand, THA
29.1, 2015, Apr Average, Thailand, THA
29.8, 2015, May Average, Thailand, THA
28.9, 2015, Jun Average, Thailand, THA
28.0, 2015, Jul Average, Thailand, THA
27.7, 2015, Aug Average, Thailand, THA
27.4, 2015, Sep Average, Thailand, THA
26.9, 2015, Oct Average, Thailand, THA
26.9, 2015, Nov Average, Thailand, THA
25.3, 2015, Dec Average, Thailand, THA
24.3, 2016, Jan Average, Thailand, THA
25.0, 2016, Feb Average, Thailand, THA
28.7, 2016, Mar Average, Thailand, THA
31.2, 2016, Apr Average, Thailand, THA
30.0, 2016, May Average, Thailand, THA
28.2, 2016, Jun Average, Thailand, THA
27.9, 2016, Jul Average, Thailand, THA
27.5, 2016, Aug Average, Thailand, THA
27.1, 2016, Sep Average, Thailand, THA
27.1, 2016, Oct Average, Thailand, THA
26.6, 2016, Nov Average, Thailand, THA
24.6, 2016, Dec Average, Thailand, THA
24.9, 2017, Jan Average, Thailand, THA
25.5, 2017, Feb Average, Thailand, THA
27.9, 2017, Mar Average, Thailand, THA
28.7, 2017, Apr Average, Thailand, THA
28.3, 2017, May Average, Thailand, THA
27.9, 2017, Jun Average, Thailand, THA
27.3, 2017, Jul Average, Thailand, THA
27.6, 2017, Aug Average, Thailand, THA
27.7, 2017, Sep Average, Thailand, THA
26.9, 2017, Oct Average, Thailand, THA
25.8, 2017, Nov Average, Thailand, THA
23.8, 2017, Dec Average, Thailand, THA
24.4, 2018, Jan Average, Thailand, THA
25.0, 2018, Feb Average, Thailand, THA
27.6, 2018, Mar Average, Thailand, THA
28.3, 2018, Apr Average, Thailand, THA
28.2, 2018, May Average, Thailand, THA
27.7, 2018, Jun Average, Thailand, THA
27.4, 2018, Jul Average, Thailand, THA
27.0, 2018, Aug Average, Thailand, THA
27.3, 2018, Sep Average, Thailand, THA
27.3, 2018, Oct Average, Thailand, THA
26.4, 2018, Nov Average, Thailand, THA
25.6, 2018, Dec Average, Thailand, THA
25.0, 2019, Jan Average, Thailand, THA
27.1, 2019, Feb Average, Thailand, THA
28.6, 2019, Mar Average, Thailand, THA
30.4, 2019, Apr Average, Thailand, THA
29.7, 2019, May Average, Thailand, THA
28.6, 2019, Jun Average, Thailand, THA
28.2, 2019, Jul Average, Thailand, THA
27.4, 2019, Aug Average, Thailand, THA
27.1, 2019, Sep Average, Thailand, THA
27.5, 2019, Oct Average, Thailand, THA
26.0, 2019, Nov Average, Thailand, THA
23.9, 2019, Dec Average, Thailand, THA
25.7, 2020, Jan Average, Thailand, THA
26.3, 2020, Feb Average, Thailand, THA
28.8, 2020, Mar Average, Thailand, THA
29.6, 2020, Apr Average, Thailand, THA
30.0, 2020, May Average, Thailand, THA
28.4, 2020, Jun Average, Thailand, THA
28.3, 2020, Jul Average, Thailand, THA
27.6, 2020, Aug Average, Thailand, THA
27.7, 2020, Sep Average, Thailand, THA
25.8, 2020, Oct Average, Thailand, THA
26.0, 2020, Nov Average, Thailand, THA
24.1, 2020, Dec Average, Thailand, THA
